+-------------------+--------+
| Number of queries | Points |
|               140 |      5 |
|               141 |      5 |
|               142 |      5 |
|               143 |      4 |
|               144 |      4 |
|               145 |      4 |
|               146 |      4 |
|               147 |      4 |
|               148 |      4 |
|               149 |      4 |
|               150 |      4 |
|               151 |      4 |
|               152 |      4 |
|               153 |      4 |
|               154 |      4 |
|               155 |      4 |
|               156 |      4 |
|               157 |      4 |
|               158 |      4 |
|               159 |      4 |
|               160 |      4 |
|               161 |      4 |
|               162 |      4 |
|               163 |      4 |
|               164 |      4 |
|               165 |      4 |
|               166 |      4 |
|               167 |      4 |
|               168 |      4 |
|               169 |      4 |
|               170 |      4 |
|               171 |      4 |
|               172 |      4 |
|               173 |      4 |
|               174 |      4 |
|               175 |      4 |
|               176 |      4 |
|               177 |      4 |
|               178 |      4 |
|               179 |      4 |
|               180 |      3 |
|               181 |      3 |
|               182 |      3 |
|               183 |      3 |
|               184 |      3 |
|               185 |      3 |
|               186 |      3 |
|               187 |      3 |
|               188 |      3 |
|               189 |      3 |
|               190 |      3 |
|               191 |      3 |
|               192 |      3 |
|               193 |      3 |
|               194 |      3 |
|               195 |      3 |
|               196 |      3 |
|               197 |      3 |
|               198 |      3 |
|               199 |      3 |
|               200 |      3 |
|               201 |      3 |
|               202 |      3 |
|               203 |      3 |
|               204 |      3 |
|               205 |      3 |
|               206 |      3 |
|               207 |      3 |
|               208 |      3 |
|               209 |      3 |
|               210 |      3 |
|               211 |      3 |
|               212 |      3 |
|               213 |      3 |
|               214 |      3 |
|               215 |      3 |
|               216 |      3 |
|               217 |      3 |
|               218 |      3 |
|               219 |      3 |
|               220 |      3 |
|               221 |      3 |
|               222 |      3 |
|               223 |      3 |
|               224 |      3 |
|               225 |      3 |
|               226 |      3 |
|               227 |      3 |
|               228 |      3 |
|               229 |      3 |
|               230 |      2 |
|               231 |      2 |
|               232 |      2 |
|               233 |      2 |
|               234 |      2 |
|               235 |      2 |
|               236 |      2 |
|               237 |      2 |
|               238 |      2 |
|               239 |      2 |
|               240 |      2 |
|               241 |      2 |
|               242 |      2 |
|               243 |      2 |
|               244 |      2 |
|               245 |      2 |
|               246 |      2 |
|               247 |      2 |
|               248 |      2 |
|               249 |      2 |
|               250 |      2 |
|               251 |      2 |
|               252 |      2 |
|               253 |      2 |
|               254 |      2 |
|               255 |      2 |
|               256 |      2 |
|               257 |      2 |
|               258 |      2 |
|               259 |      2 |
|               260 |      2 |
|               261 |      2 |
|               262 |      2 |
|               263 |      2 |
|               264 |      2 |
|               265 |      2 |
|               266 |      2 |
|               267 |      2 |
|               268 |      2 |
|               269 |      2 |
|               270 |      2 |
|               271 |      2 |
|               272 |      2 |
|               273 |      2 |
|               274 |      2 |
|               275 |      2 |
|               276 |      2 |
|               277 |      2 |
|               278 |      2 |
|               279 |      2 |
|               280 |      2 |
|               281 |      2 |
|               282 |      2 |
|               283 |      2 |
|               284 |      2 |
|               285 |      2 |
|               286 |      2 |
|               287 |      2 |
|               288 |      2 |
|               289 |      2 |
|               290 |      2 |
|               291 |      2 |
|               292 |      2 |
|               293 |      2 |
|               294 |      2 |
|               295 |      2 |
|               296 |      2 |
|               297 |      2 |
|               298 |      2 |
|               299 |      2 |
|               300 |      2 |
|               301 |      2 |
|               302 |      2 |
|               303 |      2 |
|               304 |      2 |
|               305 |      2 |
|               306 |      1 |
|               307 |      1 |
|               308 |      1 |
|               309 |      1 |
|               310 |      1 |
|               311 |      1 |
|               312 |      1 |
|               313 |      1 |
|               314 |      1 |
|               315 |      1 |
|               316 |      1 |
|               317 |      1 |
|               318 |      1 |
|               319 |      1 |
|               320 |      1 |
|               321 |      1 |
|               322 |      1 |
|               323 |      1 |
|               324 |      1 |
|               325 |      1 |
|               326 |      1 |
|               327 |      1 |
|               328 |      1 |
|               329 |      1 |
|               330 |      1 |
|               331 |      1 |
|               332 |      1 |
|               333 |      1 |
|               334 |      1 |
|               335 |      1 |
|               336 |      1 |
|               337 |      1 |
|               338 |      1 |
|               339 |      1 |
|               340 |      1 |
|               341 |      1 |
|               342 |      1 |
|               343 |      1 |
|               344 |      1 |
|               345 |      1 |
|               346 |      1 |
|               347 |      1 |
|               348 |      1 |
|               349 |      1 |
|               350 |      1 |
|               351 |      1 |
|               352 |      1 |
|               353 |      1 |
|               354 |      1 |
|               355 |      1 |
|               356 |      1 |
|               357 |      1 |
|               358 |      1 |
|               359 |      1 |
|               360 |      1 |
|               361 |      1 |
|               362 |      1 |
|               363 |      1 |
|               364 |      1 |
|               365 |      1 |
|              >365 |      0 |
+-------------------+--------+
